snapped_at,price,market_cap,total_volume
2018-01-25 00:00:00 UTC,1059.3154960264800,102976145173.28900,2098100041.2531200
2018-01-26 00:00:00 UTC,1048.7989058434800,101975238868.2180,2126139932.407400
2018-01-27 00:00:00 UTC,1095.7825142892800,106559849459.02000,1592501816.2673800
2018-01-28 00:00:00 UTC,1237.3241758468000,120356395893.4200,3105991887.223210
2018-01-29 00:00:00 UTC,1169.6342569193400,113796120454.081,2005499364.9335300
2018-01-30 00:05:11 UTC,1161.9086430994300,113043826616.74700,2006770995.7220500
2018-01-31 00:00:00 UTC,1058.0960529663000,102965815556.0670,2570454739.6687200
2018-02-01 00:00:00 UTC,1106.1381723552700,107663538775.87900,2148302756.922480
2018-02-02 00:00:00 UTC,1021.2693786534100,99423764457.44880,3414246407.713860
2018-02-03 00:00:00 UTC,914.6388425021540,89061856063.48080,4640850229.358910
2018-02-04 00:00:00 UTC,941.8032295185240,91725607014.4353,1878004123.5207400
2018-02-05 00:00:00 UTC,834.8891703333360,81329819333.7154,1882681773.9790700
2018-02-06 00:00:00 UTC,684.3133397266750,66675677460.41150,2941430688.7490800
2018-02-07 00:00:00 UTC,785.7389155049870,76574516020.88300,5021975963.611410
2018-02-08 00:05:23 UTC,751.8878893661610,73290929917.86970,2635662719.4442700
2018-02-09 00:00:00 UTC,807.8227505154960,78759712266.80620,2256661883.3019100
2018-02-10 00:00:00 UTC,871.3268829432670,84968804616.78450,1609823406.4155500
2018-02-11 00:00:00 UTC,854.3498784217320,83330877020.24870,1811750053.1439000
2018-02-12 00:00:00 UTC,817.2905243571000,79732678121.41660,1606757570.924480
2018-02-13 00:00:00 UTC,862.7487725902940,84185155652.77070,1342080234.6450900
2018-02-14 00:00:00 UTC,833.7791837295840,81375375877.96890,1215799275.6549900
2018-02-15 00:00:00 UTC,915.0765430188820,89328231140.60480,1659598861.037230
2018-02-16 00:00:00 UTC,928.2935214045190,90637629785.66490,1674187629.7427800
2018-02-17 00:00:00 UTC,934.6767104527540,91279135809.19410,1274489447.9994700
2018-02-18 00:00:00 UTC,964.2765079107340,94190008583.4062,1331103327.3327600
2018-02-19 00:00:00 UTC,915.0920469360250,89404389580.2483,1443742228.731160
2018-02-20 00:00:00 UTC,928.2902425457680,90713108252.71550,1113969168.9102800
2018-02-21 00:00:00 UTC,902.9690554385090,88256609941.35640,1376504167.75521
2018-02-22 00:00:00 UTC,809.1296597083210,79118626282.25870,1249190216.7073800
2018-02-23 00:00:00 UTC,812.4468626177470,79442544254.30930,1255677307.494040
2018-02-24 00:00:00 UTC,864.6697536212580,84567348658.27480,1553348119.733450
2018-02-25 00:00:00 UTC,828.7233989886700,81068136131.60960,1133793473.7387200
2018-02-26 00:00:00 UTC,842.6280247519170,82445384433.1456,971919367.4852570
2018-02-27 00:00:00 UTC,863.6502752378830,84519903484.51320,1273600054.5671900
2018-02-28 00:00:00 UTC,869.2632438249700,85086932065.08660,1185779363.0730200
2018-03-01 00:00:00 UTC,846.3652117960790,82862945950.985,1088578648.6068800
2018-03-02 00:00:00 UTC,855.6787797305120,83792455743.35180,1046744161.7080000
2018-03-03 00:00:00 UTC,850.4429895810160,83297136123.66150,1065182064.2918300
2018-03-04 00:00:00 UTC,844.2552535175930,82708301723.55190,968839520.3151620
2018-03-05 00:00:00 UTC,843.7565763098700,82676499793.85760,921438207.058072
2018-03-06 00:00:00 UTC,840.1509954642490,82340571913.28820,996644678.1014970
2018-03-07 00:00:00 UTC,808.4491332246330,79250313700.00670,1163651036.9598700
2018-03-08 00:00:00 UTC,752.5931712474130,73790376421.96690,1517892302.80913
2018-03-09 00:00:00 UTC,699.1898984866140,68568491974.3163,1253573581.5186800
2018-03-10 00:00:00 UTC,710.8916532666210,69730146644.19580,1559125766.2324700
2018-03-11 00:00:00 UTC,684.934340074043,67198010840.67890,1019304765.7600300
2018-03-12 00:00:00 UTC,713.1953300017520,69985307146.27710,1044019470.3085300
2018-03-13 00:00:00 UTC,695.3142030222130,68245214878.500900,1041451579.0783600
