Date,Closing Price (USD)
2/10/17,997.2275
2/11/17,1004.71375
2/12/17,1004.85375
2/13/17,994.58
2/14/17,1003.59
2/15/17,1018.41125
2/16/17,1038.86625
2/17/17,1058.315
2/18/17,1052.84375
2/19/17,1046.66249
2/20/17,1079.5825
2/21/17,1112.86375
2/22/17,1122.515
2/23/17,1193.501
2/24/17,1182.429
2/25/17,1139.848
2/26/17,1189.366
2/27/17,1189.94699
2/28/17,1193.611
3/1/17,1221.05
3/2/17,1269.776
3/3/17,1285.376
3/4/17,1260.668
3/5/17,1273.24699
3/6/17,1280.30499
3/7/17,1206.357
3/8/17,1153.06
3/9/17,1200.557
3/10/17,1147.625
3/11/17,1186.351
3/12/17,1235.553
3/13/17,1242.806
3/14/17,1245.892
3/15/17,1247.67099
3/16/17,1126.08199
3/17/17,1062.07
3/18/17,1000.24599
3/19/17,1036.226
3/20/17,1065.481
3/21/17,1091.333
3/22/17,1036.099
3/23/17,1013.844
3/24/17,921.808
3/25/17,962.508
3/26/17,968.293
3/27/17,1035.32199
3/28/17,1011.969
3/29/17,1041.374
3/30/17,1048.86299
3/31/17,1077.557
4/1/17,1082.37
4/2/17,1140.037
4/3/17,1148.092
4/4/17,1139.86
4/5/17,1150.685
4/6/17,1177.284
4/7/17,1196.896
4/8/17,1187.03299
4/9/17,1213.801
4/10/17,1206.74
4/11/17,1226.896
4/12/17,1216.269
4/13/17,1187.136
4/14/17,1186.10899
4/15/17,1189.55
4/16/17,1184.2
4/17/17,1211.73799
4/18/17,1218.666
4/19/17,1227.981
4/20/17,1261.702
4/21/17,1255.25125
4/22/17,1232.7575
4/23/17,1243.43
4/24/17,1251.5775
4/25/17,1269.69625
4/26/17,1289.7475
4/27/17,1335.825
4/28/17,1319.7
4/29/17,1311.58874
4/30/17,1370.79
5/1/17,1416.61
5/2/17,1448.88625
5/3/17,1506.7725
5/4/17,1543.31
5/5/17,1536.1525
5/6/17,1554.6025
5/7/17,1564.065
5/8/17,1644.72875
5/9/17,1695.83125
5/10/17,1748.35375
5/11/17,1774.52
5/12/17,1634.6075
5/13/17,1774.805
5/14/17,1747.04375
5/15/17,1665.0325
5/16/17,1744.44125
5/17/17,1796.89625
5/18/17,1913.13875
5/19/17,1983.97875
5/20/17,2074.69625
5/21/17,2114.98875
5/22/17,2196.66874
5/23/17,2348.55249
5/24/17,2581.85375
